"noc_title","V1.2.C.3.a","V1.2.C.3.b","V1.2.C.4.a","V1.2.C.4.b","V1.2.C.4.c","V1.2.C.4.d","V1.2.C.9.a","V1.2.B.3.b","V1.2.B.3.e","V1.4.A.3.b.1","innovation","rank.2.C.4.a","rank.2.C.4.b","rank.2.C.4.c","rank.2.C.4.d","rank.2.B.3.e","rank.2.B.3.b","rank.2.C.3.a","rank.4.A.3.b.1","rank.2.C.3.b","rank.2.C.9.a","rank.V1.1.C.7.a","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel"
"0012 Senior government managers and officials",9.32291111111111,6.768,14.0448,2.93173333333333,3.65446666666667,2.66346666666667,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,4.1,97.5,191.5,207.5,113.5,166.5,193.5,242.5,113.5,166.5,172.5,31.5,168.134216470406,162.772082466942,167.100641977601,0,NA,NA
"0013 Senior managers - financial, communications and other business services",9.32291111111111,6.768,14.0448,2.93173333333333,3.65446666666667,2.66346666666667,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,4.1,97.5,191.5,207.5,113.5,166.5,193.5,242.5,113.5,166.5,172.5,31.5,168.134216470406,162.772082466942,167.100641977601,0,NA,NA
"0014 Senior managers - health, education, social and community services and membership organizations",9.32291111111111,6.768,14.0448,2.93173333333333,3.65446666666667,2.66346666666667,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,4.1,97.5,191.5,207.5,113.5,166.5,193.5,242.5,113.5,166.5,172.5,31.5,168.134216470406,162.772082466942,167.100641977601,0,NA,NA
"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11.26926,4.848804,13.041448,1.99592,3.99556,2.71272,3.185608,1.32,1.097256,15.341132,3.874,133,254,189,110,169,246,179,122,220,163,95,175.238657141241,155.850931677019,177.673797251352,0,NA,NA
"0016 Senior managers - construction, transportation, production and utilities",9.32291111111111,6.768,14.0448,2.93173333333333,3.65446666666667,2.66346666666667,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,4.1,97.5,191.5,207.5,113.5,166.5,193.5,242.5,113.5,166.5,172.5,31.5,168.134216470406,162.772082466942,167.100641977601,0,NA,NA
"0111 Financial managers",11.1818,1.42266666666667,15.3415555555556,0.965555555555556,1.36391111111111,1.2963,1.9906,1.02666666666667,1.49653333333333,16.2096888888889,3.31,73,355,363,205,113,315,181,93,386,290,326,176.006265080149,141.137486878887,163.114737336637,0,NA,NA
"0112 Human resources managers",8.5988,1.0295,13.8776,0.5715,0.7493,0.8976,1.3448,1.96,3.24,13.32,3.64,104,397,405,241,47.5,154.5,273,177,414,376,183,145.000401101664,122.930582126113,129.109970648493,0,NA,NA
"0113 Purchasing managers",12.49875,8.4455,15.904,1.53825,2.39145,1.23695,4.96375,2.41875,1.62,15.420875,3.7,61,293,300,209,99,106,147,119,127,70,162,106.509711069091,102.106984954735,118.347720539649,0,NA,NA
"0114 Other administrative services managers",13.9025,3.3372,11.5404,1.824,2.0216,1.0138,5.7597,1.125,0.8556,15.438,3.85,178,265,320,228,227.5,299,101,118,276,60,100,130.660499224479,102.624379517071,169.336010878506,0,NA,NA
"0121 Insurance, real estate and financial brokerage managers",9.2518,0.7872,15.385,0.01,0.051,0.0408,2.0651,0.75,0.5244,20.9034,3.33,71,481.5,476,461,305.5,368,245,21,432,282,323,97.8229603338416,71.0280269445041,86.5026090495987,0,NA,NA
